document_id,project_id,filename,printed_amount,true_sanctioned_amount,is_seeded_mismatch
DOC_PRJ00545,PRJ00545,SANCTION_PRJ00545.png,841007.33,841007.33,False
DOC_PRJ00516,PRJ00516,SANCTION_PRJ00516.png,654819.1,654819.1,False
DOC_PRJ00194,PRJ00194,SANCTION_PRJ00194.png,321966.37,247262.39,True
DOC_PRJ00012,PRJ00012,SANCTION_PRJ00012.png,916086.49,916086.49,False
DOC_PRJ00280,PRJ00280,SANCTION_PRJ00280.png,1075224.88,1075224.88,False
DOC_PRJ00654,PRJ00654,SANCTION_PRJ00654.png,776942.43,617628.98,True
DOC_PRJ00644,PRJ00644,SANCTION_PRJ00644.png,1399438.68,1399438.68,False
DOC_PRJ00764,PRJ00764,SANCTION_PRJ00764.png,814118.99,814118.99,False
DOC_PRJ00199,PRJ00199,SANCTION_PRJ00199.png,901958.21,901958.21,False
DOC_PRJ00722,PRJ00722,SANCTION_PRJ00722.png,1981932.06,1313933.44,True
DOC_PRJ00237,PRJ00237,SANCTION_PRJ00237.png,5895845.71,5895845.71,False
DOC_PRJ00501,PRJ00501,SANCTION_PRJ00501.png,1364845.26,1364845.26,False
DOC_PRJ00568,PRJ00568,SANCTION_PRJ00568.png,2940106.84,2940106.84,False
DOC_PRJ00980,PRJ00980,SANCTION_PRJ00980.png,2085471.58,2085471.58,False
DOC_PRJ00970,PRJ00970,SANCTION_PRJ00970.png,2722877.6,2722877.6,False
DOC_PRJ00907,PRJ00907,SANCTION_PRJ00907.png,1458763.26,1458763.26,False
DOC_PRJ00061,PRJ00061,SANCTION_PRJ00061.png,920010.57,920010.57,False
DOC_PRJ00354,PRJ00354,SANCTION_PRJ00354.png,3384581.89,3384581.89,False
DOC_PRJ00930,PRJ00930,SANCTION_PRJ00930.png,3868320.73,3868320.73,False
DOC_PRJ00337,PRJ00337,SANCTION_PRJ00337.png,1351979.19,1147048.73,True
DOC_PRJ00818,PRJ00818,SANCTION_PRJ00818.png,1459459.1,1459459.1,False
DOC_PRJ00284,PRJ00284,SANCTION_PRJ00284.png,1269120.97,965788.86,True
DOC_PRJ00949,PRJ00949,SANCTION_PRJ00949.png,8207713.99,6946798.74,True
DOC_PRJ00596,PRJ00596,SANCTION_PRJ00596.png,1120004.55,1120004.55,False
DOC_PRJ00738,PRJ00738,SANCTION_PRJ00738.png,1196035.72,1196035.72,False
DOC_PRJ00948,PRJ00948,SANCTION_PRJ00948.png,585522.52,585522.52,False
DOC_PRJ00004,PRJ00004,SANCTION_PRJ00004.png,178917.7,178917.7,False
DOC_PRJ00757,PRJ00757,SANCTION_PRJ00757.png,787599.55,787599.55,False
DOC_PRJ00574,PRJ00574,SANCTION_PRJ00574.png,2158044.65,2158044.65,False
