photo_id,project_id,category,latitude,longitude,capture_date,is_seeded_duplicate,filename
PHT000001,PRJ00001,Public Toilet Complex,19.81853874693724,75.28759318704635,2026-07-30,False,PHT000001.jpg
PHT000002,PRJ00002,Public Toilet Complex,19.125069757230538,76.26392855467101,2025-11-14,False,PHT000002.jpg
PHT000003,PRJ00003,Community Hall,19.61797406455936,75.44932327461537,2025-11-06,False,PHT000003.jpg
PHT000004,PRJ00004,Borewell / Handpump,19.339620295746247,75.71751007636026,2026-07-01,False,PHT000004.jpg
PHT000005,PRJ00004,Borewell / Handpump,19.33924352549229,75.71675378965188,2025-11-01,False,PHT000005.jpg
PHT000006,PRJ00005,Street Lighting,20.06842074386589,75.32596877095317,2026-08-21,False,PHT000006.jpg
PHT000007,PRJ00006,Library / Reading Room,19.724544291541672,75.75620560295253,2026-08-06,False,PHT000007.jpg
PHT000008,PRJ00007,Public Toilet Complex,19.81750520220023,76.20595732694686,2026-07-29,False,PHT000008.jpg
PHT000009,PRJ00007,Public Toilet Complex,19.81753508260144,76.20649145756421,2026-07-09,False,PHT000009.jpg
PHT000010,PRJ00007,Public Toilet Complex,19.817348310382087,76.20611302746921,2026-08-26,False,PHT000010.jpg
PHT000011,PRJ00008,School Building Repair,19.42556294496033,76.0947400939673,2026-06-20,False,PHT000011.jpg
PHT000012,PRJ00008,School Building Repair,19.425384544184805,76.09455686968938,2026-07-30,False,PHT000012.jpg
PHT000013,PRJ00009,Community Hall,19.18943619771946,76.28470911750733,2025-04-10,False,PHT000013.jpg
PHT000014,PRJ00009,Community Hall,19.18903515910577,76.28465545387314,2026-02-17,False,PHT000014.jpg
PHT000015,PRJ00009,Community Hall,19.18995358987593,76.2844433934881,2026-04-02,False,PHT000015.jpg
PHT000016,PRJ00010,Community Hall,19.975135949025084,76.02586842633312,2026-08-05,False,PHT000016.jpg
PHT000017,PRJ00010,Community Hall,19.97469136459792,76.02595855807255,2026-07-29,False,PHT000017.jpg
PHT000018,PRJ00010,Community Hall,19.97484781936725,76.02547011430713,2026-08-05,False,PHT000018.jpg
PHT000019,PRJ00011,Borewell / Handpump,19.49704850507899,75.17581796755859,2026-07-31,False,PHT000019.jpg
PHT000020,PRJ00011,Borewell / Handpump,19.49702239381892,75.17635894364851,2026-01-31,False,PHT000020.jpg
PHT000021,PRJ00011,Borewell / Handpump,19.496581387847986,75.17601529009364,2026-06-18,False,PHT000021.jpg
PHT000022,PRJ00012,Public Toilet Complex,19.666257194530115,75.24392188744038,2025-05-27,False,PHT000022.jpg
PHT000023,PRJ00012,Public Toilet Complex,19.66636259361429,75.24319450796162,2025-02-16,False,PHT000023.jpg
PHT000024,PRJ00012,Public Toilet Complex,19.66692980546848,75.24388803453124,2025-12-11,False,PHT000024.jpg
PHT000025,PRJ00013,School Building Repair,19.72696719998168,75.61283427799694,2026-08-21,False,PHT000025.jpg
